Name,Role,Industry,Years_of_Experience,Notable_Projects,Genres,Style_Tags,Recent_Project_Count,Avg_Project_Rating,Awards_Count,Collaboration_Level,Demand_Score,Demand_Tier,Region,Estimated_Day_Rate_USD
A. R. Rahman,Music Director,Bollywood,30,"Slumdog Millionaire, Roja, Rockstar","Thriller, Music, Drama","Fusion, Orchestral, Electronic, Soulful",1,8.0,388,High,10.0,Premium,Global,4800
Hans Zimmer,Music Director,Hollywood,40,"Inception, Interstellar","Drama, Adventure, Action","Bombastic, Brass-heavy, Synthesizer fusion",1,8.8,578,Medium,10.0,Premium,Global,10200
Anirudh Ravichander,Music Director,Kollywood,12,"Vikram, Leo, Jailer","Comedy, Thriller, Drama","Heavy bass, Electronic beats, High energy",4,7.6,46,High,8.7,High,India,3400
Pritam,Music Director,Bollywood,20,"Yeh Jawaani Hai Deewani, Dangal, Brahmastra","Comedy, Biography, Drama","Melodic, Commercial hits, Diverse instrumentation",1,7.8,199,High,9.3,Premium,India,4600
Amit Trivedi,Music Director,Bollywood,15,"Dev.D, Lootera, Andhadhun","Comedy, Thriller, Romance","Alternative, Folk-fusion, Quirky",1,7.5,117,High,8.8,Premium,India,4800
Ilaiyaraaja,Music Director,Kollywood,45,"Nayakan, Sindhu Bhairavi","Drama, Crime","Symphonic, Folk-classical fusion, Nostalgic",1,8.1,11,Medium,9.0,Premium,India,4600
M. M. Keeravani,Music Director,Tollywood,35,"RRR, Baahubali: The Beginning, Magadheera","Drama, Adventure, Action","Grand orchestration, Traditional Indian, Choral",2,7.8,348,High,9.8,Premium,India,4500
Thaman S,Music Director,Tollywood,15,"Ala Vaikunthapurramuloo, Akhanda, Varisu","Comedy, Drama, Action","Thumping beats, Percussion-heavy, Mass appeal",3,6.7,52,High,8.0,High,India,3300
Santhosh Narayanan,Music Director,Kollywood,12,"Kabali, Vada Chennai, Kalki 2898 AD","Adventure, Sci-Fi, Drama","Raw, Folk-infused, Experimental, Baritone",2,7.2,42,High,8.3,High,India,3300
Harris Jayaraj,Music Director,Kollywood,25,"Minnale, Ghajini","Comedy, Thriller, Drama","Breezy melodies, R&B influence, Tech-pop",1,7.5,50,Medium,9.2,Premium,India,5100
John Williams,Music Director,Hollywood,60,"Star Wars, Jurassic Park","Adventure, Action, Fantasy","Leitmotif, Classical orchestral, Triumphant",1,8.4,181,Medium,10.0,Premium,Global,10400
Ludwig Göransson,Music Director,Hollywood,15,"Oppenheimer, Black Panther, Tenet","Thriller, Adventure, Biography","Experimental, Synth-heavy, Unconventional beats",2,7.6,1349,High,8.8,Premium,Global,10200
Devi Sri Prasad,Music Director,Tollywood,25,"Pushpa: The Rise - Part 1, Rangasthalam, Arya","Drama, Crime, Action","High-tempo, Catchy hooks, Folk-pop",2,7.9,82,High,9.7,Premium,India,4500
Trent Reznor,Music Director,Hollywood,15,"The Social Network, Gone Girl, Soul","Comedy, Animation, Thriller","Industrial ambient, Creepy synths, Minimalist",1,8.0,837,High,9.2,Premium,Global,10300
Vishal-Shekhar,Music Director,Bollywood,25,"Om Shanti Om, Chennai Express, Pathaan","Comedy, Thriller, Adventure","Pop-fusion, Upbeat, Club anthems",2,6.3,224,High,8.1,High,India,3400
Shankar-Ehsaan-Loy,Music Director,Bollywood,25,"Dil Chahta Hai, Kal Ho Naa Ho, Taare Zameen Par","Comedy, Music, Game-Show","Rock-infused, Contemporary, Soulful",1,7.7,160,High,9.4,Premium,India,5000
Ravi Basrur,Music Director,Tollywood,10,"K.G.F: Chapter 1, Salaar","Action, Thriller","Heavy brass, Bass-drop, Mass-elevation",4,8.1,6,High,9.3,Premium,India,4600
Hildur Gudnadottir,Music Director,Hollywood,15,"Joker, Chernobyl","Drama, Thriller","Cello-heavy, Haunting ambient",3,8.6,11,Medium,9.1,Premium,Global,10400
Gopi Sundar,Music Director,Mollywood,20,"Charlie, Bangalore Days","Romance, Drama","Feel-good melodies, Youthful",6,7.6,4,High,7.8,High,India,3000
